"Action","Дія"
"Leave blank to use current user name","Залиште пустим, щоб вставилось дійсне ім'я користувача"
"Logged in Auto Approve Comments","Автоматично приймати коментарі"
"Login Required to Comment","Вимагати логін для додавання коментару"
"Manage Categories","Керування Розділами"
"Manage Comments","Керування коментарями"
"Manage Posts","Керування статтями"
"Manage Products","Керування продуктами"
"Menus and Links","Меню та посилання"
"Meta Data","МЕТА-дані"
"Meta Description","МЕТА-Опис"
"Meta Keywords","МЕТА Ключові слова"
"Name","Ім'я"
"No Posts in this Category.","В цьому Розділі немає статей."
"Number of characters in a post to display before it is truncated and the read more link added. 0 for Unlimited.","Кількість символів в статті які показуються перед тим, як додається посилання Читати далі. 0 означає Необмежено."
"Number of post to display in the RSS feed.","Кількість статей в RSS-фіді."
"Only comments made by users that are logged in will automaticlly be approved.","Тільки коментарі від зареєстрованих користувачів будуть Автоматично прийматися"
"Page Layout","Макет сторінки"
"Please select categories","Будь ласка оберіть Розділи"
"Please select comment(s)","Будь ласка оберіть Коментар(і)"
"Please select post(s)","Будь ласка оберіть статтю(і)"
"Post was successfully deleted","Стаття була успішно видалена"
"Post does not exist","Стаття не існує"
"Post Comments","Думки про статтю:"
"Post Identifier already exist.","Такий ідентифікатор статті вже існує."
"Post Identifier cannot consist only of numbers.","Ідентифікатор статті не може складатися з одних цифр."
"Post information","Інформація про статтю"
"Post was successfully deleted","Стаття була видалена"
"Post was successfully saved","Стаття була збережена"
"Posted By","Автор"
"Posted in","Опубліковано в Розділі"
"Poster","Автор"
"Posts Per Page","статтей на сторінці"
"Priority","Пріоритет"
"Read More","Читати далі"
"Recent Posts","Свіжі статті"
"Relative to current skin directory eg. images/rsslogo.jpg","Відносно директорії щодо skin например'images/rsslogo.jpg'."
"Return to","Повернутися в"
"Return to ","Повернутися в"
"Return","Повернутися"
"to","в"
"Route to Blog","Шлях до Статтей"
"RSS Feed","RSS фід"
"RSS Feed Image","Картинка RSS фіду"
"RSS Posts to Show","Статті для показу в RSS фіді"
"Save Category","Зберегти категорію"
"Save Comment","Зберегти Коментар"
"Save Post","Зберегти статтю"
"Show Bookmarks in Lists","Показувати закладки в списках"
"Show Bookmarks in Posts","Показувати закладки в Статтях"
"Show Breadcrumbs","Показувати breadcrumbs (напр. Головна > статті)"
"Sort Order","Порядок сортування"
"Sort By","Сортувати по"
"Status","Статус"
"Store View","Вид магазину"
"Submit Comment","Залишити Коментар"
"Summary Character Count","Кількість символів"
"Tagged with "%s"","З тегом "%s""
"The number of recent post to be displayed in the menu. 0 to disable.","Кількість свіжих статей для показу в меню. 0 значить Відключити"
"The number posts displayed per page. 0 to disable pages.","Кількість статей на сторінці. 0 означає Відключити розбивку на сторінки."
"The requested page could not be found","Запит не знайдено - відкрита стартова сторінка"
"Title","Назва"
"to log in","щоб увійти"
"Total of %d comment(s) were successfully approved","Всього %d коментарів було одобрено"
"Total of %d comment(s) were successfully unapproved","Всього %d коментарів було відхилено"
"Total of %d comments(s) were successfully deleted","Всього %d коментарів було видалено"
"Total of %d record(s) were successfully deleted","Всього %d записів було видалено"
"Total of %d record(s) were successfully updated","Всього %d записів було оновлено"
"Unable to find category to save","Неможливо знайти категорію для збереження"
"Unable to find comment to save","Неможливо знайти Коментар для збереження"
"Unable to find post to save","Неможливо знайти статтю для збереження"
"Unable to submit your comment. Please, try again later","Не вдається відправити ваш коментар. Будь ласка спробуйте пізніше."
"Unapprove","Відхилено"
"Updated","Оновлено"
"User","Користувач"
"You must be logged in to comment.","Необхідно залогіниться щоб Залишити Коментар."
"You must be logged in to post a comment.","Необхідно залогіниться щоб залишати коментарі."
"Your comment has been submitted and is awaiting approval.","Ваш Коментар надіслано та очікує підтвердження адміністратором. Дякуємо!"
"Your comment has been submitted.","Ваш Коментар надіслано"
"eg. ""news"" will make the blog accessible from domain.com/news. Must not contain any slashes. Blank for default","якщо задати напр. ""news"" то блог буде доступний за адресою 'domena.com/news'. Не повинен містити символів коса лінія (слеш). Якщо залишити пустим, тоді буде 'blog'."
"< Newer Posts","< Свіжіші пости"
"Older Posts >","Пізніші пости >"
"Share this:","Поділіться статтею в:"
