"# of Use","# використання"
"%1$s incl tax.","%1$s включаючи податок."
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"(Copy data from: %s)","(Копіювати дані з: %s)"
"Email to a Friend","надіслати другу"
"Empty","Пустий"
"Enabled","Показувати"
"Error during retrieval of option value: %s","Помилка при отриманні варіанта значення: %s"
"Error while adding customers for %s alert. Message: %s","Помилка при додаванні клієнтів для оповіщення %s . Повідомлення: %s"
"Error while saving this group. Group with the same name already exists.","Помилка при збереженні групи. Група з ідентичною назвою вже існує."
"Error while saving this group. Please try again later.","Помилка при збереженні Цієї групи. Будь-ласка, спробуйте пізніше."
"Exclude","Виключити"
"Expand All","Розгорнути все"
"Failed","Помилка"
"Failed to move file: %s","Неможливо перемістити файл: %s"
"Feature Products","Популярні товари"
"File options format is not valid","Опції формату файлів не діє"
"File upload failed","Завантаження файлу не вдалося"
"Filter model name must be declared","Ім&#39;я моделі фільтру має бути вказана"
"Filter must be as object. Set correct filter please","Фільтр повинен бути об'єктом. Будь-ласка, встановіть вірний фільтр"
"Filterable (no results)","Відфільтровано (результати відсутні)"
"Filterable (with results)","Відфільтровано (з результатами)"
"Filters must be as array","Фільтр повинен бути масивом"
"First Name","Ім&#39;я"
"Fixed","Виправлено"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Для внутрішнього використання. Значення повинно бути унікальним і не включати пробіли"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Зовнішній інтерфейс"
"Frontend Model","Модель зовнішнього інтерфейсу"
"Frontend Properties","Налаштування зовнішнього інтерфейсу"
"Gallery","Залерея"
"General Information","Загальна інформація"
"Get special price","Get special price"
"Global","Загальний"
"Globally Editable","Globally Editable"
"Go to Home Page","Перейти на головну сторінку"
"Grid","Таблиця"
"Grouped Product","Згруповані товари"
"Groups","Групи"
"Home","Головна"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Якщо ви не вкажете значення параметра для вигляду конкретному магазину, то значення за замовчуванням (Admin) використовуватиметься."
"Image","Зображення"
"Image content is not valid base64 data.","Зміст Картинка не достовірні дані base64."
"Image file not found","Зображення не знайдено"
"Image not exists","Зображення не існує"
"Image not specified.","Зображення не зазначене."
"Image type and information need to be specified for each store view.","Тип Зображення повинен бути зазначений для кожного магазину."
"In Stock","Є в наявності"
"In stock","Є в наявності"
"In stock.","Є в наявності."
"Incl. Tax","вкл. Податок"
"Input Type","Вхідний тип"
"Input Validation for Store Owner","Валідація вводу для власника групи магазинів"
"Integer","Ціле"
"Integer Number","Ціле число"
"Invalid Tier Prices","Недійсні прікріплення Ціни"
"Invalid attribute %s","Недійсні атрибути %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Для атрибуту %s (%s) вказане невірне значення, пропуск запису"
"Invalid attribute set specified, skipping the record","Для набору атрибутів вказане невірне значення, пропуск запису"
"Invalid block: %s","Невірний блок: %s"
"Invalid category","Невірна категорія"
"Invalid category IDs","Невірна ID категорії"
"Invalid image file type","Невірний тип файлу малюнку"
"Invalid image type.","Невірний тип зображення."
"Invalid option id specified for %s (%s), skipping the record","Вказаний невірний id варіанту для %s (%s), пропуск запису"
"Invalid product type specified, skipping the record","Вказаний невірний тип товару, пропуск запису"
"Invalid store specified","Вказана невірна група магазинів"
"Invalid store specified, skipping the record","Вказана невірна група магазинів,пропуск запису"
"Inventory","Асортимент"
"Is Default","За замовчуванням"
"Is Required","Обов'язкове"
"Items %s to %s of %s total","Товари від %s до %s з %s "
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Товари, які Ви не бажаєте відображати в каталозі або результатах пошуку повинні мати статус 'Не показувати'  у вибраній групі магазинів."
"Label","Мітка"
"Last Name","Прізвище"
"Last Notification","Останнє поівдомлення"
"Learn More","Детальніше"
"Length of text is too long","Довжина тексту занадто довга"
"Letters","Букви"
"Letters(a-zA-Z) or Numbers(0-9)","Букви(а-яА-Я) або Числа(0-9)"
"Line %d, Email: %s","Поле %d, E-mail: %s"
"Line %d, SKU: %s","Поле %d, обліковий номер: %s"
"Link (Related, Up sell, Cross sell)","Лінк (Пов'язані, найпродавані, перехресні продажі)"
"Link product not exists.","Посилання продукту не існує."
"List","Список"
"List Mode","Режим списку"
"Manage Attribute Sets","Групи атрибутів"
"Manage Attributes","Атрибути"
"Manage Catalog Categories","Категорії каталогу"
"Manage Categories","Категорії"
"Manage Label / Options","Мітки / Варіанти"
"Manage Options (values of your attribute)","Управління варіантами (значення Вашого атрибуту )"
"Manage Product Attributes","Управління атрибутами товару"
"Manage Product Sets","Управління наборами товарів"
"Manage Products","Товари"
"Manage Stock","Управління складом"
"Manage Titles (Size, Color, etc.)","Управління заголовками (Розмір, Колір, тощо)"
"Max Characters","Максимальна кількість символів"
"Maximal Depth","Максимальна глибина"
"Maximum Image Size","Максимальний розмір зображення"
"Maximum Qty Allowed in Shopping Cart","Максимальна кількість дозволена в кошику "
"Maximum image height","Максимальна висота зображення"
"Maximum image width","Максимальна ширина зображення"
"Maximum number of characters","Максимальна кількість символів"
"Media Image","Медіа зображення"
"Minimum Lines Per Page","Мінімальні рядків на сторінці"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кількість дозволена в кошику"
"Minimum Qty for Item's Status to be Out of Stock","Мінімальна кількість для статусу товару, яка може бути відсутня на складі"
"Missing SKU, skipping the record","Відсутній обліковий номер, пропуск запису"
"More Views","Інші зображення"
"Move","Перемістити"
"Move category in tree","Перемістити категорію в дереві"
"Multiple Select","Груповий вибір"
"Name","Назва"
"Name In %s","Ім&#39;я в %s"
"Name<br/>(For internal use)","Ім&#39;я <br/>(для внутрішнього використання)"
"New Category","Нова категорія"
"New Product","Новий товар"
"New Product Attribute","Новий атрибут товару"
"New Products","Нові товари"
"New Search","Новий пошук"
"New Set Name","Назва нового набору"
"Next","Наступний"
"No","Ні"
"No image","Зображення відсутнє"
"No layout updates","Не оновлювати шаблон"
"No options of this product are available.","Для Цього товару відсутні варіанти ."
"No product collections found","Жодної колекціх товарів не знайдено"
"None","-"
"Not shared with other products","Не пов'язаний з іншими продуктами"
"Notify Low Stock RSS","RSS товарів, що закінчуються"
"Notify for Quantity Below","Повідомляти про кількість нижче"
"Nowhere","-"
"Number of Uses","Кількість використання"
"Number of results<br/>(For last time placed)","Кількість результатів<br/>(Згідно останнього розміщення)"
"OR","АБО"
"Old Price:","Стара ціна:"
"Option validation failed to add product to cart","Через перевірку варіанту - не вдалося додати товар у кошик"
"Option:","Варіант:"
"Options Control","Функції контролю"
"Options is required","Необхідно вказати варіанти"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Відсутній на складі"
"Out of stock","Відсутній на складі"
"Out of stock.","Відсутній на складі."
"PM","PM"
"Page Title Separator","Розділювач заголовку сторінки"
"Page:","Сторінка:"
"Parent Category","Батьківська категорія"
"Pending","В очікуванні"
"Pending Reviews RSS","RSS відгуків, що очікують підтвердження"
"Percentage","Процентне співвідношення"
"Please add rows to option.","Будь ласка, додайте рядки в опції."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Будь-ласка, натисніть на кнопку Закрити Вікно, якщо воно не закриється автоматично"
"Please enter a new group name","Будь-ласка, введіть назву нової групи"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Будь ласка, виберіть пункти"
"Please select one or more attributes.","Будь-ласка, оберіть один, або більше атрибут."
"Please select product(s)","Будь-ласка, виберіть товар(и)"
"Please select products for attributes update","Будь-ласка, виберіть товари для оновленя атрибутів"
"Please select static block ...","Оберіть статичний блок"
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Будь ласка, виберіть варіант(s) дати"
"Please specify the product option(s)","Будь ласка, вкажіть параметр продукту(s)"
"Please specify the product required option(s)","Будь ласка, вкажіть необхідний параметр продукту(s)"
"Please specify the product(s) quantity","Будь ласка, вкажіть продукт(s) кількість"
"Please specify time required option(s)","Будь ласка, вкажіть потрібну опцію часу(s)"
"Please, use four-digit year format","Будь ласка, використовуйте чотиризначний формат року"
"Position","Позиція"
"Position In Layered Navigation","Позиція в багаторівневому меню"
"Position of attribute in layered navigation block","Позиція атрибуту в багаторівневому меню "
"Prev","Попередній"
"Previous","Попередній"
"Price","Ціна"
"Price Type","Тип ціни"
"Price values for options should be specified in system base currency.","Значення ціни для варіантів мають бути вказані в основній системній валюті."
"Price:","Ціна:"
"Print This Page","Друк"
"Problem saving the collection, aborting. Error: %s","Виникла проблема при збережені колекції, операцію перервано. Помилка: %s"
"Product","Товар"
"Product %s successfully added to compare list","%s був успішно доданий до списку порівняння"
"Product %s successfully removed from compare list","%s  був успішно видалений зі списку порівняння"
"Product API","Товару API"
"Product Alerts","Повідомлення про товар"
"Product Attribute","Атрибут товару"
"Product Attributes","Атрибути товару"
"Product Categories","Категорії товару"
"Product Description","Опис товару"
"Product Image Placeholders","Стандартне зображення для товарів без заданих малюнків"
"Product Image Watermarks","Водяний знак для зображень товарів"
"Product Images","Зображення продуктів"
"Product Images API","зображення продуктів API"
"Product In Websites","товар на сайті"
"Product Info Column","Колонка інформації Продукту"
"Product Information","Інформація про товар"
"Product Name","Назва товару"
"Product Reviews","Відгуки про товар"
"Product Tags","Теги товару"
"Product Tier Price API","Рівень звязаних цін товару API"
"Product Type","Тип товару"
"Product URL Suffix","Суфікс URL товару"
"Product attribute sets API","Атрибут товару призначений API"
"Product attribute was successfully deleted","Атрибут товару був успішно видалений "
"Product attribute was successfully saved","Атрибут товару був успішно збережений"
"Product attributes API","Атрибути товару API"
"Product collection expected","Колекція товару пропущена"
"Product deleted","Товар видалений"
"Product duplicated","Створено копію товару"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Лістинг продукту сортувати по"
"Product saving error.","Помилка при збережені товару."
"Product saving error. ","Збереження товару помилка. "
"Product types API","Види продукції API"
"Product was successfully created.","Товар був успішно створений."
"Product was successfully saved.","Товар був успішно збережений."
"Product with this combination of attributes already associated to configurable.","Товар з цією комбінацією атрибутів вже пов'язаний з кофігурованим."
"Products","Товари"
"Products Information","Інформація про товари"
"Products Reviews","Відгуки про товари"
"Products Sitemap","Дерево продуктів"
"Products only","Лише товари"
"Products per Page on Grid default value","Значення за замовчуванням для задання кількості товарів/сторінку в таблиці"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Значення за замовчуванням для задання кількості товарів/сторінку в списку"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Властивості"
"Qty","Кількість"
"Qty Uses Decimals","Кількість з десятковим значенням"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Швидке створення"
"Quick Overview","Короткий огляд"
"Quick simple product creation","Швидке створення простого товару"
"Records for ""","Запис для """
"Redirect","Перенаправлення"
"Redirect URL","URL перенаправлення"
"Regular Price:","Звичайна ціна:"
"Related Products","Пов'язані товари"
"Remove","Видалити"
"Remove Product","Видалити товар"
"Remove Product From Websites","Видалити продукт з Вебсайтів"
"Remove This Item","Видалити цей товар"
"Remove product assignment","Видалити завдання продукту"
"Remove product image","Видалити зображення продукту"
"Remove product link","Видалити посилання продукту"
"Required","Обов&#39;язковий"
"Reset","Скинути"
"Results","Результати"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Відгук успішно видалений"
"Review was saved successfully","Відгук успішно збережений"
"Review was successfully saved","Відгук успішно збережений"
"Reviews","Відгуки"
"Roll Over for preview","Перемотати до перегляду"
"Root","Кореневий каталог"
"SKU","Обліковий номер"
"Save","Зберегти"
"Save And Continue Edit","Зберегти та продовжити редагування"
"Save Attribute","Зберегти атрибут"
"Save Attribute Set","Зберегти набір атрибутів"
"Save Category","Зберегти категорію"
"Save Search","Зберегти пошук"
"Saved ","Збережено "
"Scope","Діапазон"
"Search","Пошук"
"Search Engine Optimizations","Пошукова оптимізація"
"Search Information","Пошук інофрмації"
"Search Query","Пошуковий запит"
"Search Term was successfully saved","Пошукова умова була успішно збережена"
"Search Term with such search query already exist.","Пошукова умова з таким пошуковим запитом вже існує."
"Search was successfully deleted","Пошук було успішно видалено "
"Searchable","Доступний для пошуку"
"Select Configurable Attributes ","Вибрати конфігуровані атрибути"
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Вибрати типи товару"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Надіслати кількість"
"Set Ascending Direction","Сортувати у порядку збільшення"
"Set Descending Direction","Сортувати у порядку зменшення"
"Set Name","Назва набору"
"Set Root Category For Store","Встановити кореневу категорію для групи магазинів"
"Set root category for this store in the <a href=""%s"">configuration</a>","Встановити кореневу категорію для цієї групи  магазинів в <a href=""%s"">налаштуваннях</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Налаштування"
"Shop by","Підібрати по:"
"Shop By","Підібрати по:"
"Shopping Options","Варіанти товарів"
"Show","Показати"
"Show Details","Show Details"
"Show Tags","Показати теги"
"Simple Product","Простий продукт"
"Site Map","Мапа сайту"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Пропуск імпортованої стрічки, значення ""%s"" некорректне для поля ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Пропуск імпортованої стрічки,обов&#39;язкове поле ""%s"" для нового клієнта не задане"
"Skip import row, required field ""%s"" for new products not defined","Пропуск імпортованої стрічки, ,обов&#39;язкове поле ""%s"" для нового товару не задане"
"Skip import row, required field ""%s"" not defined","Пропуск імпортованої стрічки, обов&#39;язкове поле ""%s"" не задане"
"Skip import row, store ""%s"" field not exists","Пропуск імпортованої стрічки, поле ""%s"" групи магазинів не існує"
"Sort Order","Порядок сортування"
"Sort by","Сортування"
"Source Model","Модель вихідного коду"
"Special Price:","Спеціальна ціна:"
"Starting at:","Починаючи з:"
"Static","Статичний"
"Static block and products","Статичний блок і товари"
"Static block only","Лише статичний блок"
"Status","Статус"
"Stock Availability","Наявність на складі"
"Store","Група магазинів"
"Store View","Магазин"
"Stretch","Розтянути"
"Subscribe to Feed","Підписатись на стрічку новин"
"Subscribe to RSS Feed","Підписатись на стрічку новин RSS "
"Super product attributes configuration","Налаштування атрибутів супер товару"
"Synonym For","Синонім"
"Synonym for","Синонім для"
"System","Система"
"System Properties","Системні налаштування"
"Tag Name","Назва тегу"
"Tax","Податок"
"Text","Текст"
"Text Area","Текстова зона"
"Text Field","Текстове поле"
"There are no %s available."," %s немає в наявності."
"There are no customers for this alert","Для цього оповіщення більше немає клієнтів"
"There are no products matching the selection.","Товари, що відповідають вибру відсутні."
"There was an error while adding products to websites","Сталась помилка при додаванні продуктів до вебсайтів"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Сталась помилка при видаленні продуктів з вебсайтів"
"There was an error while updating product(s) attributes","Виникла помилка при оновлені атрибутів товару(ів)"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Цього атрибуту більше не існує "
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Ця група вміщає системні атрибути. Будь-ласка, перемістіть системні атрибути до іншої групи і спробуйте ще раз."
"This is a required option","This is a required option"
"This search no longer exists","Цього пошуку більше не існує"
"Tier Pricing","Рівень цін"
"Tile","Заголовок"
"Time format","Формат часу"
"Title","Заголовок"
"Top/Left","Вверху/Зліва"
"Top/Right","Вверху/Зправа"
"Total Qty Base Items","Загальна Кількість Базових товарів"
"Total incl. Tax: %1$s","Всього вкл. податок: %1$s"
"Total of %d record(s) were successfully deleted","Всього %d запис(ів) було успішно видалено"
"Total of %d record(s) were successfully updated","Всього %d запис(ів) було успішно оновлено"
"Type","Тип"
"Unable to complete request. Please try again later.","Запит виконати невдалось. Будь-ласка, спробуйте знову пізніше."
"Unable to find a search term to delete","Невдалось знайти пошукову умову для видалення"
"Unable to find an attribute to delete","Невдалось знайти атрибут для видалення"
"Unable to get product id.","Невдалось отримати id товару."
"Unassigned Attributes","Непризначні атрибути"
"Unique Value","Унікальне значення"
"Unique Value (not shared with other products)","Унікальне значення (не розподілене з іншими продуктами)"
"Unknown attribute: %s","Невідомий атрибут: %s"
"Up-sells","Промо товари"
"Update","Оновити"
"Update Attributes","Оновити Attributes"
"Update Tier Price","Оновити Tier Price"
"Update assigned product","Оновити assigned product"
"Update attributes","Оновити атрибути"
"Update category","Оновити category"
"Update product","Оновити product"
"Update product image","Оновити product image"
"Update product link","Оновити product link"
"Update product tier prices","Оновити product tier prices"
"Upload new product image ","Додати нову картинку продукту "
"Url","Посилання"
"Url Rewrite Management","Url-перенаправлення"
"Url rewrie save problem.","Помилка збереження Url-перенаправлення."
"Use Config Settings","Використовувати налаштування конфігурації"""
"Use Default Value","Використовувати значення за замовчуванням"
"Use Flat Catalog Category","Використовуйте плоский каталог"
"Use Flat Catalog Product","Використовуйте плоский Каталог товарів"
"Use In Layered Navigation","Використовувати в багаторівненвому меню"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Використовувати в багаторівненвому меню<br/>(Може використовуватись виключно з типом поля каталогу 'Випадаюче меню')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Використовуйте JavaScript календар"
"Use To Create Configurable Product","Використовуйте для створення конфігурованого товару"
"Use Tree Like Category Sitemap","Використовуйте Дерево типу Sitemap Категорій"
"Use categories path for product URLs","Використовувати шлях категорії для URL товарів"
"Use in advanced search","Використовувати в розширеному пошуку"
"Use in quick search","Використовувати в швидкому пошуку"
"Used for sorting in product listing","Використовується для сортування в списку продукції"
"Used in product listing","Використовується в списку продуктів"
"Values Required","Значення є обов&#39;язковими"
"Varchar","Varchar"
"View as","Вигляд"
"Virtual Product","Віртуальні товари"
"Visibility","Видимість"
"Visible","Видимий"
